year_month,type,total_cost,consumption_water,power_consumption,heat_consumption
2024-10,Heat,0.45144999999999996,,,5.0
2024-10,Heat,0.72232,,,8.0
2024-10,Heat,0.18058,,,2.0
2024-10,Heat,0.63203,,,7.0
2024-10,Heat,0.18058,,,2.0
2024-10,Heat,0.36116,,,4.0
2024-10,Heat,1.08348,,,12.0
2024-10,Heat,0.54174,,,6.0
2024-10,Heat,0.27087,,,3.0
2024-10,Heat,0.45144999999999996,,,5.0
2024-10,Heat,0.63203,,,7.0
2024-10,Heat,0.27087,,,3.0
2024-10,Heat,0.45144999999999996,,,5.0
2024-10,Heat,0.9028999999999999,,,10.0
2024-10,Heat,0.54174,,,6.0
2024-10,Heat,0.72232,,,8.0
2024-10,Heat,0.72232,,,8.0
2024-10,Heat,0.27087,,,3.0
2024-10,Heat,0.8126099999999999,,,9.0
2024-10,Heat,0.36116,,,4.0
2024-10,Heat,0.36116,,,4.0
2024-10,Heat,0.45144999999999996,,,5.0
2024-10,Heat,1.26406,,,14.0
2024-10,Heat,0.45144999999999996,,,5.0
2024-10,Heat,0.45144999999999996,,,5.0
2024-11,Heat,0.27087,,,3.0
2024-11,Heat,0.72232,,,8.0
2024-11,Heat,0.27087,,,3.0
2024-11,Heat,0.54174,,,6.0
2024-11,Heat,0.63203,,,7.0
2024-11,Heat,0.45144999999999996,,,5.0
2024-11,Heat,0.63203,,,7.0
2024-11,Heat,0.72232,,,8.0
2024-11,Heat,0.9931899999999999,,,11.0
2024-11,Heat,0.9931899999999999,,,11.0
2024-11,Heat,0.63203,,,7.0
2024-11,Heat,0.72232,,,8.0
2024-11,Heat,0.27087,,,3.0
2024-11,Heat,0.63203,,,7.0
2024-11,Heat,0.09029,,,1.0
2024-11,Heat,0.72232,,,8.0
2024-11,Heat,0.8126099999999999,,,9.0
2024-11,Heat,0.72232,,,8.0
2024-11,Heat,0.45144999999999996,,,5.0
2024-11,Heat,1.35435,,,15.0
2024-11,Heat,1.8960899999999998,,,21.0
2024-11,Heat,2.7087,,,30.0
2024-11,Heat,0.54174,,,6.0
2024-11,Heat,0.18058,,,2.0
2024-11,Heat,0.63203,,,7.0
2024-11,Heat,0.9028999999999999,,,10.0
2024-11,Heat,0.54174,,,6.0
2024-11,Heat,0.18058,,,2.0
2024-11,Heat,0.54174,,,6.0
2024-11,Heat,0.72232,,,8.0
2024-12,Heat,0.27087,,,3.0
2024-12,Heat,0.72232,,,8.0
2024-12,Heat,2.43783,,,27.0
2024-12,Heat,5.77856,,,64.0
2024-12,Heat,4.33392,,,48.0
2024-12,Heat,1.53493,,,17.0
2024-12,Heat,1.44464,,,16.0
