temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,wind_speed,date,time,datetime,humidity_normalized,pressure_normalized,temp_status,feels_like_status,pressure_status,wind_status
6.12,3.79,4.69,7.19,1017,88,1017,1012,3.09,2024-11-26,22:29,2024-11-26 22:29:00,0.7741935483870968,0.6444444444444445,Cold,Feels similar,Low pressure,Low wind
11.15,10.75,10.63,11.89,998,93,998,994,9.26,2024-12-06,23:31,2024-12-06 23:31:00,0.9354838709677419,0.2222222222222222,Warm,Feels similar,Low pressure,High wind
6.91,1.2,6.36,8.0,1003,80,1003,998,14.4,2024-12-07,21:31,2024-12-07 21:31:00,0.5161290322580645,0.3333333333333333,Cold,Feels much colder,Low pressure,High wind
11.73,11.33,11.05,12.3,1021,91,1021,1016,4.12,2024-11-30,22:30,2024-11-30 22:30:00,0.8709677419354839,0.7333333333333333,Warm,Feels similar,High pressure,Low wind
5.62,1.82,4.56,6.41,1013,89,1013,1008,5.66,2024-11-27,13:29,2024-11-27 13:29:00,0.8064516129032258,0.5555555555555556,Cold,Feels similar,Low pressure,Moderate wind
10.86,10.43,10.29,11.33,1010,93,1010,1006,8.23,2024-12-05,05:31,2024-12-05 05:31:00,0.9354838709677419,0.4888888888888889,Warm,Feels similar,Low pressure,High wind
7.51,4.02,6.89,8.33,1020,77,1020,1015,6.17,2024-12-06,10:31,2024-12-06 10:31:00,0.41935483870967744,0.7111111111111111,Cold,Feels similar,High pressure,Moderate wind
2.57,-0.04,1.1,3.89,1029,93,1029,1025,2.57,2024-11-28,22:30,2024-11-28 22:30:00,0.9354838709677419,0.9111111111111111,Cold,Feels similar,High pressure,Low wind
9.65,6.91,8.56,10.03,1024,66,1024,1020,5.66,2024-11-29,15:30,2024-11-29 15:30:00,0.06451612903225806,0.8,Cold,Feels similar,High pressure,Moderate wind
8.32,6.78,7.05,8.98,1024,79,1024,1019,2.57,2024-11-29,22:30,2024-11-29 22:30:00,0.4838709677419355,0.8,Cold,Feels similar,High pressure,Low wind
8.61,4.67,7.74,9.53,1011,75,1011,1007,8.75,2024-12-06,02:31,2024-12-06 02:31:00,0.3548387096774194,0.5111111111111111,Cold,Feels similar,Low pressure,High wind
6.36,2.76,5.58,7.31,1019,78,1019,1015,5.66,2024-12-06,09:31,2024-12-06 09:31:00,0.45161290322580644,0.6888888888888889,Cold,Feels similar,High pressure,Moderate wind
6.03,1.95,5.54,6.9,1032,89,1032,1027,6.69,2024-12-10,03:31,2024-12-10 03:31:00,0.8064516129032258,0.9777777777777777,Cold,Feels much colder,High pressure,Moderate wind
5.95,4.42,5.07,6.81,1022,85,1022,1017,2.06,2024-12-03,03:30,2024-12-03 03:30:00,0.6774193548387096,0.7555555555555555,Cold,Feels similar,High pressure,Low wind
12.01,11.62,11.4,12.81,1012,90,1012,1007,5.14,2024-12-01,22:30,2024-12-01 22:30:00,0.8387096774193549,0.5333333333333333,Warm,Feels similar,Low pressure,Moderate wind
6.09,2.02,5.23,6.72,1033,88,1033,1028,6.69,2024-12-10,08:31,2024-12-10 08:31:00,0.7741935483870968,1.0,Cold,Feels much colder,High pressure,Moderate wind
13.11,12.88,12.2,14.12,996,92,996,992,9.26,2024-11-23,18:29,2024-11-23 18:29:00,0.9032258064516129,0.17777777777777778,Warm,Feels similar,Low pressure,High wind
7.67,3.88,7.18,8.16,1027,84,1027,1023,7.2,2024-12-09,00:31,2024-12-09 00:31:00,0.6451612903225806,0.8666666666666667,Cold,Feels similar,High pressure,Moderate wind
9.99,7.17,9.39,10.59,1013,79,1013,1008,6.17,2024-12-02,13:30,2024-12-02 13:30:00,0.4838709677419355,0.5555555555555556,Cold,Feels similar,Low pressure,Moderate wind
4.55,1.55,2.85,6.05,1014,88,1014,1010,3.6,2024-11-26,08:29,2024-11-26 08:29:00,0.7741935483870968,0.5777777777777777,Cold,Feels similar,Low pressure,Low wind
8.33,5.44,7.73,8.98,1016,79,1016,1012,5.14,2024-12-02,18:30,2024-12-02 18:30:00,0.4838709677419355,0.6222222222222222,Cold,Feels similar,Low pressure,Moderate wind
10.9,10.13,9.9,11.75,1001,80,1001,997,7.2,2024-11-25,11:29,2024-11-25 11:29:00,0.5161290322580645,0.28888888888888886,Warm,Feels similar,Low pressure,Moderate wind
13.16,12.86,12.45,13.71,1023,89,1023,1018,4.63,2024-11-30,16:30,2024-11-30 16:30:00,0.8064516129032258,0.7777777777777778,Warm,Feels similar,High pressure,Low wind
10.14,9.59,9.39,10.81,1023,91,1023,1019,3.09,2024-11-30,04:30,2024-11-30 04:30:00,0.8709677419354839,0.7777777777777778,Warm,Feels similar,High pressure,Low wind
13.11,12.8,12.3,13.93,1003,89,1003,999,6.69,2024-12-05,16:31,2024-12-05 16:31:00,0.8064516129032258,0.3333333333333333,Warm,Feels similar,Low pressure,Moderate wind
9.16,5.8,8.82,9.81,1017,92,1017,1013,7.2,2024-12-04,23:31,2024-12-04 23:31:00,0.9032258064516129,0.6444444444444445,Cold,Feels similar,Low pressure,Moderate wind
6.65,1.7,6.07,7.27,989,89,989,984,10.29,2024-12-07,12:31,2024-12-07 12:31:00,0.8064516129032258,0.022222222222222223,Cold,Feels much colder,Low pressure,High wind
3.21,0.72,1.77,5.09,1027,93,1027,1023,2.57,2024-11-29,04:30,2024-11-29 04:30:00,0.9354838709677419,0.8666666666666667,Cold,Feels similar,High pressure,Low wind
4.11,1.78,3.01,5.81,1019,89,1019,1014,2.57,2024-11-27,18:29,2024-11-27 18:29:00,0.8064516129032258,0.6888888888888889,Cold,Feels similar,High pressure,Low wind
14.0,13.78,13.3,14.83,1007,89,1007,1003,6.17,2024-12-05,13:31,2024-12-05 13:31:00,0.8064516129032258,0.4222222222222222,Warm,Feels similar,Low pressure,Moderate wind
14.83,14.72,14.18,15.65,996,90,996,992,10.29,2024-11-24,02:29,2024-11-24 02:29:00,0.8387096774193549,0.17777777777777778,Warm,Feels similar,Low pressure,High wind
3.16,1.16,1.93,4.73,1028,94,1028,1024,2.06,2024-11-29,01:30,2024-11-29 01:30:00,0.967741935483871,0.8888888888888888,Cold,Feels similar,High pressure,Low wind
16.8,16.44,15.39,17.47,996,73,996,992,12.86,2024-11-24,10:29,2024-11-24 10:29:00,0.2903225806451613,0.17777777777777778,Warm,Feels similar,Low pressure,High wind
8.69,5.52,7.51,9.83,1012,88,1012,1007,6.17,2024-12-02,07:30,2024-12-02 07:30:00,0.7741935483870968,0.5333333333333333,Cold,Feels similar,Low pressure,Moderate wind
11.46,10.36,9.81,12.31,1003,65,1003,998,9.77,2024-11-25,14:29,2024-11-25 14:29:00,0.03225806451612903,0.3333333333333333,Warm,Feels similar,Low pressure,High wind
