year_month,type,total_cost
2024-10,Heat,16.61336
2024-10,Power,56.97
2024-10,Water,26.4488175
2024-11,Heat,21.48902
2024-11,Power,69.2
2024-11,Water,24.746827
2024-12,Heat,16.52307
2024-12,Power,16.71
2024-12,Water,5.3318825
